customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
C100000,Male,0,Yes,No,66,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,85.54,5572.8,1
C100001,Female,0,Yes,No,2,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,59.42,78.32,0
C100002,Female,0,No,Yes,46,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,64.1,3181.1,0
C100003,Male,0,Yes,No,0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,75.06,20.03,1
C100004,Male,0,Yes,No,5,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,84.94,410.42,1
C100005,Female,0,Yes,No,10,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,66.62,622.93,0
C100006,Male,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.03,363.52,1
C100007,Female,0,Yes,No,71,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,78.71,4765.26,0
C100008,Male,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,92.15,474.87,0
C100009,Male,0,Yes,No,17,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,87.36,1435.44,0
C100010,Female,1,No,No,33,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.89,2303.95,1
C100011,Female,0,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,33.91,713.88,0
C100012,Female,0,No,Yes,40,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,75.43,3184.94,0
