customerID,age,gender,income,loan_amount,loan_term,credit_score,employment_status,marital_status,default
C100000,25,Male,59684.42,28846.64,75,758.6,Self-employed,Single,Yes
C100001,58,Female,35694.93,16433.57,227,628.2,Self-employed,Single,No
C100002,52,Female,56603.66,31181.18,57,652.9,Employed,Single,Yes
C100003,42,Female,41259.83,9103.29,350,643.9,Employed,Married,Yes
C100004,41,Male,54451.93,25691.15,92,790.1,Employed,Single,Yes
C100005,62,Male,15000.0,5676.74,39,668.6,Self-employed,Married,Yes
C100006,25,Female,37439.94,4936.26,167,647.1,Employed,Single,Yes
C100007,54,Female,89278.53,14385.98,147,554.6,Unemployed,Single,Yes
C100008,30,Male,76607.95,30013.31,240,625.3,Employed,Married,Yes
C100009,25,Female,86380.79,17586.05,244,711.7,Self-employed,Single,Yes
C100010,46,Male,87754.43,41927.3,218,711.4,Employed,Married,No
C100011,67,Male,73459.75,28936.78,211,640.9,Employed,Single,Yes
C100012,56,Male,50942.63,19902.36,282,644.3,Self-employed,Divorced,Yes
C100013,57,Male,39254.98,10317.05,238,791.6,Self-employed,Single,Yes
C100014,55,Male,82934.89,51488.43,60,841.8,Employed,Single,Yes
C100015,58,Female,61291.36,22060.52,173,749.0,Self-employed,Divorced,Yes
C100016,45,Male,109880.46,52256.47,251,773.6,Employed,Married,Yes
C100017,27,Male,52698.04,28833.81,104,786.3,Employed,Married,Yes
C100018,61,Male,99457.92,40515.97,312,812.9,Employed,Single,Yes
C100019,42,Male,56864.16,37949.4,179,661.9,Employed,Single,Yes
C100020,45,Male,86720.97,39100.02,123,627.3,Unemployed,Married,Yes
C100021,38,Female,93933.83,34717.1,144,790.0,Employed,Single,Yes
C100022,29,Male,39541.0,8609.56,227,622.1,Employed,Single,Yes
C100023,65,Female,50300.04,9240.35,258,618.3,Self-employed,Married,Yes
C100024,58,Female,39340.42,17001.28,101,619.7,Employed,Single,Yes
C100025,51,Male,35401.11,8240.94,71,672.1,Employed,Married,Yes
C100026,40,Female,73341.34,32276.7,43,560.9,Employed,Single,Yes
C100027,60,Female,56067.43,29559.64,184,594.0,Self-employed,Divorced,Yes
C100028,47,Female,61047.33,20718.74,334,642.7,Employed,Married,No
C100029,42,Female,71124.78,15663.53,345,608.2,Student,Divorced,Yes
C100030,42,Female,22852.26,12701.04,206,743.7,Self-employed,Married,Yes
C100031,31,Female,85735.32,8014.5,197,680.4,Self-employed,Single,Yes
C100032,25,Female,53018.12,29206.62,187,714.6,Self-employed,Single,Yes
C100033,47,Male,70648.03,26672.93,94,708.1,Employed,Single,Yes
C100034,63,Female,72414.26,24851.11,156,667.6,Self-employed,Married,Yes
C100035,24,Female,87415.93,33321.38,337,739.3,Employed,Single,Yes
C100036,62,Female,57902.85,20141.23,226,707.1,Employed,Married,Yes
C100037,60,Male,17527.25,6543.39,96,660.9,Employed,Married,Yes
C100038,34,Male,61142.55,15139.35,42,579.0,Self-employed,Single,Yes
C100039,51,Male,64014.14,17508.6,273,711.2,Employed,Married,Yes
C100040,28,Male,39314.78,19192.5,326,604.3,Self-employed,Married,Yes
C100041,57,Male,62949.81,11473.47,50,702.8,Student,Married,Yes
C100042,54,Male,52779.63,15134.39,142,684.7,Employed,Single,No
C100043,38,Male,33144.92,5561.99,308,598.4,Employed,Single,Yes
C100044,24,Male,73429.7,19629.22,100,695.5,Employed,Married,No
C100045,67,Male,48725.5,11877.83,74,691.5,Employed,Single,No
